id,description,finished_at,split,encoding,model,rows,test_rows,auc_roc,auc_ci_low,auc_ci_high,auc_pr,f1,balanced_acc,brier,very_major_error,major_error,threshold,runtime_seconds
LC_800k,Learning curve: LightGBM on a 800k-row sample,2026-09-24T09:34:07+00:00,grouped,oof,lightgbm,800000,160001,0.82,0.8162,0.8245,0.7372,0.6599,0.7124,0.1728,0.0977,0.4774,0.4,52.1
A2_oof_grouped,"A1 with genome-grouped split, the corrected baseline",2026-09-24T09:58:21+00:00,grouped,oof,lightgbm,1525796,305159,0.8232,0.82,0.8269,0.7394,0.6645,0.7175,0.1716,0.1007,0.4643,0.4,57.7
A4_random_forest,"Random forest on the same 400k sample, bagged trees vs boosted trees",2026-09-24T09:59:25+00:00,grouped,oof,random_forest,400000,80000,0.8173,0.8136,0.8214,0.7282,0.6657,0.7286,0.1748,0.2139,0.3289,0.484,55.5
A5_xgboost,"XGBoost on the same 400k sample, library comparison against LightGBM",2026-09-24T10:59:34+00:00,grouped,oof,xgboost,400000,80000,0.8195,0.8158,0.8238,0.7343,0.6675,0.73,0.1737,0.208,0.332,0.488,38.5
A5b_catboost,"CatBoost with the hand-built rate encodings, same 400k sample",2026-09-24T11:06:06+00:00,grouped,oof,catboost,400000,80000,0.8191,0.8154,0.8234,0.7329,0.6674,0.7298,0.1736,0.206,0.3345,0.475,119.8
A5c_catboost_native,"CatBoost with no rate features, its ordered target statistics instead of the hand-built encoding",2026-09-24T11:08:13+00:00,grouped,none,catboost,400000,80000,0.8186,0.8146,0.8226,0.7323,0.6671,0.7295,0.1739,0.2076,0.3334,0.465,124.9
D1_forecaster_deploy,Deploy candidate: A10s + isotonic calibration + threshold for VME <= 10% with the lowest ME,2026-09-26T01:18:23+00:00,grouped,oof,lightgbm,1521644,304337,0.8043,0.801,0.808,0.7161,0.642,0.69,0.1678,0.0906,0.5293,0.24,323.8
A10_monotonic_mic,A2 constrained so P(resistant) cannot fall as the MIC rises,2026-09-26T01:23:40+00:00,grouped,oof,lightgbm,1521644,304337,0.8223,0.8193,0.8258,0.7375,0.661,0.7131,0.1722,0.0858,0.4881,0.4,284.5
A10s_monotonic_species,"A10 with species-level Taxon IDs, so a taxon a user types can match",2026-09-26T01:27:55+00:00,grouped,oof,lightgbm,1521644,304337,0.8044,0.8011,0.8081,0.7206,0.6469,0.6994,0.1795,0.1223,0.4789,0.4,245.0
D2_forecaster_deploy,D1 on cleaning v4: 54 more drugs get a drug class instead of other,2026-09-26T05:43:25+00:00,grouped,oof,lightgbm,1521644,304337,0.8044,0.801,0.808,0.7163,0.6419,0.6899,0.1678,0.0904,0.5297,0.25,441.6
